student_id,champion_name,champion_relation,champion_email,status,date_complete
227302083,Kevin Elliott,Family,kevinelliott@yahoo.com,Complete,9/29/2021
696529051,Shane Rodgers,Family,shanerodgers@gmail.com,Complete,9/8/2021
927713038,Raymond Todd,Parent / Guardian,raymondtodd@gmail.com,Complete,8/14/2021
227811221,Kirk Lambert,Other,kirklambert@yahoo.com,Complete,8/7/2021
359072392,Ethel Sullivan,Coach,ethelsullivan@champion.org,Complete,9/28/2021
32263930,Jeffery Moran,Sibling,jefferymoran@icloud.net,Complete,8/20/2021
431400280,Garry Spencer,Sibling,garryspencer@gmail.com,Complete,9/20/2021
242608418,Helen Stevens,Teacher,helenstevens@icloud.net,Complete,9/3/2021
435220500,Alfred Lowe,Family,alfredlowe@gmail.com,Complete,9/29/2021
983684302,--,--,--,Not Started,--
279774611,Charlene Barker,Coach,charlenebarker@icloud.net,Complete,8/16/2021
113374107,Jo Harvey,Other,joharvey@icloud.net,Complete,8/7/2021
708943155,--,--,--,Not Started,--
915532158,--,--,--,Not Started,--
417443725,Krista Armstrong,Other,kristaarmstrong@yahoo.com,Complete,8/7/2021
75714181,Wilfred Rodriquez,Coach,wilfredrodriquez@gmail.com,Complete,8/16/2021
399912946,Ruth Baldwin,Parent / Guardian,ruthbaldwin@icloud.net,Complete,8/24/2021
157132497,Stuart Goodman,Teacher,stuartgoodman@yahoo.com,Complete,8/12/2021
188234394,Della Roberts,Coach,dellaroberts@icloud.net,Complete,8/4/2021
889924117,Rufus Kelley,Teacher,rufuskelley@gmail.com,Complete,9/3/2021
848200821,--,--,--,Not Started,--
505563920,--,--,--,Not Started,--
960616041,Jeff Bowers,Sibling,jeffbowers@gmail.com,Complete,9/23/2021
169413769,Penny Waters,Parent / Guardian,pennywaters@gmail.com,Complete,8/29/2021
134037413,--,--,--,Not Started,--
695701156,Harold Pope,Parent / Guardian,haroldpope@gmail.com,Complete,8/10/2021
528744198,Doyle Lyons,Family,doylelyons@champion.org,Complete,9/17/2021
690320874,Rosalie Garrett,Parent / Guardian,rosaliegarrett@icloud.net,Complete,9/15/2021
586965387,Kelli Peterson,Other,kellipeterson@yahoo.com,Complete,8/4/2021
524322872,Dana Frank,Sibling,danafrank@yahoo.com,Complete,9/11/2021
307887363,Nicole Wilkerson,Other,nicolewilkerson@yahoo.com,Complete,8/5/2021
330933239,Olivia Franklin,Sibling,oliviafranklin@gmail.com,Complete,8/18/2021
878672184,Ed Schwartz,Parent / Guardian,edschwartz@yahoo.com,Complete,9/21/2021
318120058,Angel Hammond,Other,angelhammond@yahoo.com,Complete,9/10/2021
632083022,Lucille Wilson,Coach,lucillewilson@icloud.net,Complete,8/19/2021
345939776,Leroy Robinson,Coach,leroyrobinson@champion.org,Complete,8/6/2021
592449982,Georgia Newman,Other,georgianewman@gmail.com,Complete,9/4/2021
478033392,Fannie Sims,Coach,fanniesims@gmail.com,Complete,8/22/2021
4314002312,Scott Burgess,Family,scottburgess@gmail.com,Complete,8/25/2021
409082995,Rosie Gordon,Coach,rosiegordon@gmail.com,Complete,9/25/2021
403480710,Joseph Delgado,Coach,josephdelgado@yahoo.com,Complete,9/25/2021
617980032,Alberto Singleton,Other,albertosingleton@icloud.net,Complete,9/25/2021
813325049,Craig Graham,Teacher,craiggraham@gmail.com,Complete,9/3/2021
614425465,Cathy Murphy,Teacher,cathymurphy@champion.org,Complete,8/9/2021
924185469,Hope Wade,Coach,hopewade@yahoo.com,Complete,8/12/2021
68929118,--,--,--,Not Started,--
843033405,Beth Mendoza,Parent / Guardian,bethmendoza@yahoo.com,Complete,9/11/2021
673885527,Darlene Gomez,Sibling,darlenegomez@gmail.com,Complete,8/16/2021
177440491,Jamie Fleming,Teacher,jamiefleming@gmail.com,Complete,9/6/2021
384558589,Alonzo West,Sibling,alonzowest@icloud.net,Complete,9/18/2021
717381317,Robert Maldonado,Sibling,robertmaldonado@icloud.net,Complete,8/1/2021
4668317,Austin Hicks,Family,austinhicks@yahoo.com,Complete,8/20/2021
640913882,Alyssa Armstrong,Parent / Guardian,alyssaarmstrong@icloud.net,Complete,9/12/2021
315016164,Teresa Berry,Family,teresaberry@champion.org,Complete,8/14/2021
428994974,--,--,--,Not Started,--
306477844,--,--,--,Not Started,--
501511819,Lillie Fernandez,Family,lilliefernandez@champion.org,Complete,8/4/2021
82798187,--,--,--,Not Started,--
104452829,Alfredo Stevens,Family,alfredostevens@icloud.net,Complete,9/5/2021
685454346,--,--,--,Not Started,--
953678453,Charles Walters,Coach,charleswalters@champion.org,Complete,8/17/2021
650818833,Raul Hopkins,Family,raulhopkins@champion.org,Complete,9/8/2021
239575923,Jonathan Harper,Teacher,jonathanharper@yahoo.com,Complete,8/1/2021
270022177,Jean Perry,Sibling,jeanperry@champion.org,Complete,8/14/2021
823939019,Hannah Kelley,Coach,hannahkelley@icloud.net,Complete,8/12/2021
640846982,--,--,--,Not Started,--
85533243,--,--,--,Not Started,--
561728564,Nellie Massey,Parent / Guardian,nelliemassey@icloud.net,Complete,9/24/2021
983868277,--,--,--,Not Started,--
138329114,Vicky Walton,Sibling,vickywalton@champion.org,Complete,8/13/2021
817136664,Emilio Guzman,Other,emilioguzman@gmail.com,Complete,9/27/2021
392394232,Theodore Ray,Family,theodoreray@icloud.net,Complete,8/14/2021
905195112,Justin Griffin,Teacher,justingriffin@yahoo.com,Complete,9/16/2021
475459254,Jo Vaughn,Family,jovaughn@yahoo.com,Complete,9/28/2021
139550827,Rosie Lawson,Coach,rosielawson@icloud.net,Complete,8/15/2021
221075939,Grady Rodgers,Sibling,gradyrodgers@champion.org,Complete,9/13/2021
37347679,Mabel Pope,Other,mabelpope@icloud.net,Complete,8/3/2021
157614375,Belinda Wilkerson,Coach,belindawilkerson@gmail.com,Complete,9/19/2021
714109012,Dwayne Morton,Family,dwaynemorton@yahoo.com,Complete,8/17/2021
975563495,Beatrice Dawson,Coach,beatricedawson@icloud.net,Complete,9/4/2021
560055338,Jody Hubbard,Family,jodyhubbard@yahoo.com,Complete,9/30/2021
48588348,Lonnie Adkins,Other,lonnieadkins@gmail.com,Complete,8/25/2021
619609831,Cecilia Wong,Coach,ceciliawong@champion.org,Complete,8/6/2021
299840445,--,--,--,Not Started,--
357513686,Jon Lambert,Parent / Guardian,jonlambert@gmail.com,Complete,8/18/2021
142972581,Carol Cruz,Family,carolcruz@icloud.net,Complete,9/16/2021
873946561,Naomi Smith,Coach,naomismith@icloud.net,Complete,9/17/2021
891348296,Felipe Hanson,Teacher,felipehanson@champion.org,Complete,9/5/2021
744878955,Carl Rodriquez,Other,carlrodriquez@icloud.net,Complete,8/4/2021
691773276,Gilbert Cunningham,Family,gilbertcunningham@icloud.net,Complete,8/26/2021
145814165,Luke Walters,Coach,lukewalters@icloud.net,Complete,9/3/2021
212871650,Tricia Morgan,Other,triciamorgan@champion.org,Complete,9/19/2021
